Campaign,Search Term,Clicks,Impressions,Cost ($),Suggest Negative
Google-Sa-DSA-Global,swagger api example,1,1,0.04,No
Google-Sa-DSA-Global,how to use postman,1,5,0.04,No
Google-Sa-DSA-Global,load test using jmeter,1,1,0.04,No
Google-Sa-DSA-Global,import swagger to postman,2,2,0.04,No
Google-Sa-DSA-Global,import yaml in postman,1,1,0.04,No
Google-Sa-DSA-Postman-Global,api testing using postman for beginners,1,1,0.03,No
Google-Sa-DSA-Postman-Global,how to create a mock server in postman,1,2,0.03,No
Google-Sa-DSA-Postman-Global,http status 405,1,1,0.03,No
Google-Sa-DSA-Postman-Global,method not allowed postman,1,1,0.03,No
Google-Sa-DSA-Postman-Global,postman curl import,1,1,0.03,No
Google-Sa-DSA-Postman-Global,postman post request example,1,3,0.03,No
Google-Sa-DSA-Global,how to use bruno for api testing,1,3,0.03,No
Google-Sa-DSA-Global,http 405,1,2,0.03,No
Google-Sa-DSA-Global,rest api documentation,1,4,0.03,No
Google-Sa-DSA-Global,what is swagger,1,14,0.03,No
Google-Sa-DSA-Global,signalr,1,7,0.03,No
Google-Sa-DSA-Global,what is websocket,1,10,0.03,No
Google-Sa-DSA-Global,openapi what is it,1,1,0.03,No
Google-Sa-DSA-Postman-Global,api calls postman,1,1,0.02,No
Google-Sa-DSA-Postman-Global,como usar o postman para testar api,1,2,0.02,No
Google-Sa-DSA-Postman-Global,error 403 postman,1,1,0.02,No
Google-Sa-DSA-Postman-Global,import collection in postman,1,3,0.02,No
Google-Sa-DSA-Postman-Global,postman 405 method not allowed,2,3,0.02,No
Google-Sa-DSA-Postman-Global,postman add curl,1,1,0.02,No
Google-Sa-DSA-Postman-Global,postman import collection,2,7,0.02,No
Google-Sa-DSA-Postman-Global,postman import format,1,1,0.02,No
Google-Sa-DSA-Postman-Global,postman upload file,2,2,0.02,No
Google-Sa-DSA-Global,api requirements example,1,1,0.02,No
Google-Sa-DSA-Global,node api server example,1,1,0.02,No
Google-Sa-DSA-Global,restful api design patterns and best practices,1,1,0.02,No
Google-Sa-DSA-Global,swagger,1,4,0.02,No
Google-Sa-DSA-Global,swagger how to use,1,1,0.02,No
Google-Sa-DSA-Global,swagger vs postman,1,3,0.02,No
Google-Sa-DSA-Global,apidog,1,1,0.02,No
Google-Sa-DSA-Global,curl bearer,1,1,0.02,No
Google-Sa-DSA-Global,curl send json,2,2,0.02,No
Google-Sa-DSA-Global,how to send get request with curl,1,1,0.02,No
Google-Sa-DSA-Global,java websocket client,1,1,0.02,No
Google-Sa-DSA-Global,websocket tutorial,1,2,0.02,No
Google-Sa-DSA-Global,what is grpc,2,8,0.02,No
Google-Sa-DSA-Global,what is swagger,1,4,0.02,No
Google-Sa-DSA-Postman-Global,call soap service from postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,curl in postman example,1,1,0.01,No
Google-Sa-DSA-Postman-Global,curl post request,1,1,0.01,No
Google-Sa-DSA-Postman-Global,error code 405,1,1,0.01,No
Google-Sa-DSA-Postman-Global,export environment postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,grpc postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,grpc request in postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,how to import postman collection in postman,1,3,0.01,No
Google-Sa-DSA-Postman-Global,http 422,1,3,0.01,No
Google-Sa-DSA-Postman-Global,http code 405 method not allowed,1,1,0.01,No
Google-Sa-DSA-Postman-Global,import collection postman,1,3,0.01,No
Google-Sa-DSA-Postman-Global,import json collection in postman,1,2,0.01,No
Google-Sa-DSA-Postman-Global,import json into postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,post method in postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,postman collection json,1,2,0.01,No
Google-Sa-DSA-Postman-Global,postman export request,1,1,0.01,No
Google-Sa-DSA-Postman-Global,postman grpc,2,3,0.01,No
Google-Sa-DSA-Postman-Global,postman import collection from json,1,1,0.01,No
Google-Sa-DSA-Postman-Global,postman import json,1,3,0.01,No
Google-Sa-DSA-Postman-Global,postman paste curl,1,1,0.01,No
Google-Sa-DSA-Postman-Global,postman post request,1,2,0.01,No
Google-Sa-DSA-Postman-Global,postman send file,1,2,0.01,No
Google-Sa-DSA-Postman-Global,postman soap,1,4,0.01,No
Google-Sa-DSA-Postman-Global,postman test curl,1,1,0.01,No
Google-Sa-DSA-Postman-Global,postman websocket,1,3,0.01,No
Google-Sa-DSA-Postman-Global,use jwt token in postman,1,1,0.01,No
Google-Sa-DSA-Postman-Global,websocket on postman,1,1,0.01,No
Google-Sa-DSA-Global,api url standards,1,1,0.01,No
Google-Sa-DSA-Global,how to create login api in node js,1,1,0.01,No
Google-Sa-DSA-Global,http 405 error,1,1,0.01,No
Google-Sa-DSA-Global,http error 405 method not allowed,1,1,0.01,No
Google-Sa-DSA-Global,python post api,1,1,0.01,No
Google-Sa-DSA-Global,restful example,1,1,0.01,No
Google-Sa-DSA-Global,swagger tutorial,1,3,0.01,No
Google-Sa-DSA-Global,what are rest apis,1,2,0.01,No
Google-Sa-DSA-Global,what is rest api,1,8,0.01,No
Google-Sa-DSA-Global,api docs download,1,1,0.01,No
Google-Sa-DSA-Global,download apidog,1,1,0.01,No
Google-Sa-DSA-Global,what is swagger documentation,1,2,0.01,No
Google-Sa-DSA-Global,curl,1,22,0.01,No
Google-Sa-DSA-Global,curl body,1,1,0.01,No
Google-Sa-DSA-Global,curl command for rest api,1,1,0.01,No
Google-Sa-DSA-Global,curl command for telnet,1,1,0.01,No
Google-Sa-DSA-Global,curl command in linux,1,3,0.01,No
Google-Sa-DSA-Global,curl content type json,1,4,0.01,No
Google-Sa-DSA-Global,curl d option,1,1,0.01,No
Google-Sa-DSA-Global,curl get command,1,3,0.01,No
Google-Sa-DSA-Global,curl get request,1,5,0.01,No
Google-Sa-DSA-Global,curl linux command,1,2,0.01,No
Google-Sa-DSA-Global,curl make post request,1,1,0.01,No
Google-Sa-DSA-Global,curl post request,1,2,0.01,No
Google-Sa-DSA-Global,curl post with payload,1,1,0.01,No
Google-Sa-DSA-Global,curl send json data,1,1,0.01,No
Google-Sa-DSA-Global,how to do a curl request,1,1,0.01,No
Google-Sa-DSA-Global,how to test an mcp server,1,1,0.01,No
Google-Sa-DSA-Global,how to use curl command in linux,1,1,0.01,No
Google-Sa-DSA-Global,how websocket works,1,6,0.01,No
Google-Sa-DSA-Global,import curl command in postman,1,1,0.01,No
Google-Sa-DSA-Global,importar curl en postman,1,1,0.01,No
Google-Sa-DSA-Global,postman subscribe to websocket topic,1,1,0.01,No
Google-Sa-DSA-Global,send json curl,1,1,0.01,No
Google-Sa-DSA-Global,what is curl command,1,4,0.01,No
Google-Sa-DSA-Global,import swagger into postman,1,3,0.01,No
Google-Sa-DSA-Global,swagger vs openapi,1,7,0.01,No
Google-Sa-DSA-Postman-Global,curl to postman,1,5,0.0,No
